sno,day,month,year,date,seiz_location,seiz_lat,seiz_long,seiz_district,seiz_state,seiz_country,product,iwt_number,iwt_indian_tft_number,iwt_quantity (kg),transport_involved,in_transit_location_type,last_transit_location,last_transit_district,last_transit_state,last_transit_country,sour_location,sour_district,sour_state,sour_country,destination1_location,destination1_district,destination1_state,destination1_country,destination2_location,destination2_district,destination2_state,destination2_country,group1,group1_number,group2,group2_number,group3,group3_number,species1,species1_number,species2,species2_number,species3,species3_number,species4,species4_number,species5,species5_number,media_link.1,media_link.2,media_link.3
171,13,January,2018,"January 13, 2018","Hotel Orbit, Station Road, Bodha Gaya",24.7914,85.0002,Gaya,Bihar,India,Live,244,244,NA,NA,NA,Kolkata,Kolkata,West Bengal,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,244,NA,NA,NA,NA,Indian star tortoise,244,NA,NA,NA,NA,NA,NA,NA,NA,https://hindi.news18.com/news/bihar/gopalganj-100-rupaye-ke-liye-doston-ne-hi-le-li-dost-ki-jaan-friends-killed-their-friend-for-rs100-bruk-4542745.html,https://www.livehindustan.com/bihar/gaya/story-244-grinding-turtles-recovered-from-chennai-1747458.html,https://www.youtube.com/watch?v=OAK-1EInnmI
172,24,January,2018,"January 24, 2018",Patna Junction,25.5941,85.1376,Patna,Bihar,India,Live,286,286,NA,Rail,In-transit (Train station),Sultanpur,Sultanpur,Uttar Pradesh,India,NA,NA,NA,NA,Howrah,Howrah,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,286,NA,NA,NA,NA,Trionychidae,286,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_20.pdf,https://timesofindia.indiatimes.com/city/patna/286-tortoises-seized-2-held/articleshow/62655326.cms,NA
173,3,February,2018,"February 3, 2018",Simon Bolivar Marg,28.6139,77.209,Delhi,Delhi,India,Live,5,5,NA,Road,In-transit (Road),Inderpuri,Delhi,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,5,NA,NA,NA,NA,Trionychidae,5,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_20.pdf,https://www.financialexpress.com/india-news/delhi-man-arrested-with-5-turtles-his-excuse-for-crime-will-touch-your-heart/1053899/,https://indianexpress.com/article/cities/delhi/man-who-purchased-five-turtles-for-ailing-father-in-law-to-eat-arrested-5052781/
174,7,February,2018,"February 7, 2018",Bandel,22.9342,88.3714,Hooghly,West Bengal,India,Live,200,200,NA,Rail,In-transit (Train station),Varanasi,Varanasi,Uttar Pradesh,India,NA,NA,NA,NA,Howrah,Howrah,West Bengal,India,NA,North 24-Parganas,West Bengal,India,Softshell Turtle,200,NA,NA,NA,NA,Trionychidae,200,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_20.pdf,https://www.telegraphindia.com/states/west-bengal/200-turtles-seized-on-train/cid/1410682,https://www.youtube.com/watch?v=Yc3I_93YjvU
175,20,February,2018,"February  20, 2018",Vijayawada railway station,16.5062,80.648,Krishna,Andhra Pradesh,India,Live,406,406,NA,Rail,In-transit (Train station),Kadiri,Anantapur,Andhra Pradesh,India,NA,NA,NA,NA,Bhubaneswar,Khordha,Odisha,India,NA,NA,NA,Bangladesh,Tortoise/Hardshell Turtle,406,NA,NA,NA,NA,Indian star tortoise,406,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/vijayawada/dri-seized-406-indian-star-tortoises-two-women-held/articleshow/63004619.cms,https://www.thenewsminute.com/article/dri-arrests-two-smuggling-406-indian-star-tortoises-vijayawada-railway-station-76770,https://www.youtube.com/watch?v=nWKo8Z9xgrw
176,22,March,2018,"March 22, 2018",Kolkata,22.5726,88.3639,Kolkata,West Bengal,India,Live,214,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bangkok,NA,NA,Thailand,NA,NA,NA,NA,Tortoise/Hardshell Turtle,214,NA,NA,NA,NA,Indian star tortoise,214,NA,NA,NA,NA,NA,NA,NA,NA,https://www.business-standard.com/article/news-ians/endangered-indian-star-tortoises-seized-from-kolkata-hotel-118032400778_1.html,https://www.timesnownews.com/india/article/kolkata-star-tortoise-smuggling-hotel-directorate-of-revenue-intelligence/210856,https://www.qatar-tribune.com/news-details/id/117848
177,30,March,2018,"March 30, 2018",Kanpur Central Station,26.4499,80.3319,Kanpur Nagar,Uttar Pradesh,India,Calipee,NA,NA,27,Rail,In-transit (Train station),"Etah, Mainpuri, Kanpur, Auraiya districts",NA,Uttar Pradesh,India,NA,NA,NA,NA,Malda,Malda,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,NA,NA,NA,NA,NA,Trionychidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_20.pdf,https://timesofindia.indiatimes.com/city/lucknow/stf-nabs-turtle-smuggler-seizes-calipee-worth-lakhs/articleshow/63553186.cms,https://www.india.com/news/agencies/27-kg-of-dried-turtle-calipee-recovered-from-turtle-smugglers-2973536/
178,12,April,2018,"April 12, 2018",Dhanbad junction,23.7957,86.4304,Dhanbad,Jharkhand,India,Live,141,141,NA,Rail,In-transit (Train station),Jaunpur,Jaunpur,Uttar Pradesh,India,NA,NA,NA,NA,Bandel,Hooghly,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,141,NA,NA,NA,NA,Trionychidae,141,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_21.pdf,https://www.telegraphindia.com/states/jharkhand/141-turtles-rescued-from-train-man-held/cid/1367096,https://www.bhaskar.com/news/latest-dhanbad-news-030005-1463587.html
179,22,April,2018,"April 22, 2018",Hemraj,29.3748,78.0859,Bijnor,Uttar Pradesh,India,Meat,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_21.pdf,https://timesofindia.indiatimes.com/city/meerut/-turtles-flesh-seized-one-arrested/articleshow/63862420.cms,NA
180,1,May,2018,"May 1, 2018","Toll-plaza, NH-34 near BSF Camp Baishnabnagar",24.8372,87.9776,Malda,West Bengal,India,Bone,NA,NA,60,Road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,sb.bsf.gov.in/pressrelease/201805/29-2018.pdf,NA,NA
181,1,May,2018,"May 1, 2018","House in village Chakmailpur, Sasani, PO- Sasani, PS- Kaliachak",24.8602,88.0192,Malda,West Bengal,India,Bone,NA,NA,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bangladesh,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,sb.bsf.gov.in/pressrelease/201805/29-2018.pdf,NA,NA
182,5,May,2018,"May 5, 2018","Maharashtra guest house, near Kalyan railway station",19.2403,73.1305,Thane,Maharashtra,India,Live,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,50,NA,NA,NA,NA,Spotted black terrapin,50,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_21.pdf,https://www.hindustantimes.com/mumbai-news/bihar-resident-tries-to-smuggle-50-turtles-arrested-in-thane/story-4N1wjGGthGQEVyIc3xPW3N.html,NA
183,26,May,2018,"May 26, 2018",Dhulagarh,22.5738,88.1779,Howrah,West Bengal,India,Live,2500,2500,NA,Road,In-transit (Road),Bhubaneswar,Khordha,Odisha,India,NA,NA,NA,NA,NA,North 24 Parganas,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,2500,NA,NA,NA,NA,Trionychidae,2500,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/kolkata/2500-turtles-seized-700-found-dead-in-transit/articleshow/64337659.cms,https://www.telegraphindia.com/states/west-bengal/turtles-died-in-cramped-conditions/cid/1417695,https://www.asianage.com/metros/kolkata/270518/cid-seizes-more-than-2400-turtles-worth-rs-20-lakhs.html
184,26,May,2018,"May 26, 2018","near BT college, Birati",22.6636,88.4273,North 24 Parganas,West Bengal,India,Live,100,100,NA,Road,In-transit (Road),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,100,NA,NA,NA,NA,Trionychidae,100,NA,NA,NA,NA,NA,NA,NA,NA,https://www.telegraphindia.com/states/west-bengal/turtles-died-in-cramped-conditions/cid/1417695,https://timesofindia.indiatimes.com/city/kolkata/2500-turtles-seized-700-found-dead-in-transit/articleshow/64337659.cms,https://www.hindustantimes.com/india-news/cid-seizes-2-499-turtles-in-west-bengal-four-detained/story-4l1sMnz0dc342MDOi5FLOK.html
185,12,June,2018,"June 12, 2018",Thondayad Junction,11.2588,75.7804,Kozhikode,Kerala,India,Live,5,5,NA,Road,In-transit (Road),NA,NA,Karnataka,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,5,NA,NA,NA,NA,Indian star tortoise,5,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/kozhikode/kozhikode-five-held-for-smuggling-indian-star-tortoises/articleshow/64561995.cms,https://www.thehindu.com/news/cities/kozhikode/5-booked-for-smuggling-in-star-tortoises/article24148158.ece,NA
